sim,final_return_pct,max_dd_pct,phase1_outcome,phase1_days,phase1_return_pct,phase2_outcome,phase2_days,phase2_return_pct
1,109.47037638972023,4.47381290400643,passed,106,9.686574970969941,passed,80,5.036489717300929
2,190.70589585030805,3.942157709466094,passed,203,9.405045678676816,passed,106,5.212805828468725
3,119.19112665555143,4.518846349754427,passed,104,8.668418918494837,passed,54,5.444298033024797
4,182.66189401962558,3.7089407052804355,passed,96,8.432651741909858,passed,77,5.55091775631833
5,129.70300372557108,6.935944633115615,passed,139,8.133742762465834,passed,111,5.009737200452502
6,178.96749390526762,2.913377766381675,passed,85,8.064616180880812,passed,65,5.164991482796855
7,129.51713625081567,7.76601221003567,passed,51,8.703998496891273,passed,42,6.647797402611055
8,169.03951889661576,5.263781100465525,passed,108,8.013444705869667,passed,59,6.693976295065451
9,152.10041878254313,5.820978573884167,passed,87,8.007499060251867,passed,73,7.63118632542934
10,147.93540807096605,3.9009464090962878,passed,94,8.225885833714862,passed,63,5.097042959056863
11,189.2166021279191,4.052104464094454,passed,23,8.049210681662156,passed,5,5.016213253529633
12,182.20733389757066,4.8185730749674045,passed,110,9.976911686027123,passed,84,5.474031483306163
13,134.6784908250184,8.413934242551013,passed,79,9.71715867253713,passed,42,5.460860069331819
14,184.03112188456228,3.49754518493461,passed,35,8.123294984350826,passed,28,5.8071027469805525
15,177.0965599517896,5.864583922968019,passed,46,9.902152005615417,passed,29,5.848205085749347
16,177.6667705015979,4.708068330387109,passed,62,8.839658175033605,passed,36,6.604130486141946
17,112.53819754133883,7.364854087677199,passed,167,8.305799508398092,passed,148,6.047880207242207
18,172.36458180644632,6.125701879092314,passed,44,8.014445649805445,passed,36,6.053691739488598
19,177.5442561245959,3.786715945643379,passed,126,8.383981238597338,passed,115,5.873811449534405
20,202.140485288629,5.144968614186492,passed,128,9.299754581534048,passed,110,5.142147700797972
21,139.94803823579213,6.044154469087304,passed,166,8.269670234190652,passed,166,8.269670234190652
22,170.52700580533758,4.188672948502795,passed,146,8.485012427790007,passed,146,8.485012427790007
23,156.78885743617147,9.17629262742395,passed,165,9.852263061142175,passed,87,6.48231184946737
24,164.0266476673446,3.9231271666045333,passed,61,8.084200726508994,passed,36,5.3828704932727955
25,193.04401819992364,4.387718693741405,passed,89,9.740225356068887,passed,42,5.719359099605947
26,197.07518765117587,3.89037608159288,passed,38,9.385043237670354,passed,34,5.4905202516397855
27,207.49015976942457,5.260592601716959,passed,254,10.316590178122675,passed,149,5.0663436272878615
28,140.13440111753002,3.527829837563931,passed,72,8.188635073598505,passed,49,5.166581116597291
29,116.17835626627758,4.7389224637604075,passed,256,8.655374940310768,passed,161,7.24243790154242
30,103.95878905465383,8.147966889798571,passed,74,8.902462498317675,passed,58,5.006416244366529
31,138.0376883886846,4.858646686905811,passed,50,8.041863980585596,passed,43,6.049571644417839
32,179.61262457286082,2.851481841182436,passed,68,8.867585834480241,passed,65,5.425230487130728
33,186.08891684985213,3.2207096404437587,passed,50,8.796473088404655,passed,43,6.538475666145627
34,156.31431284733037,4.244999107580427,passed,32,8.155472163429224,passed,19,5.853258040105147
35,148.33624811692286,3.5540323099918427,passed,51,8.00741877842006,passed,36,5.066008993055848
36,189.5578639726766,5.432341469314166,passed,187,8.015800511003368,passed,59,6.345059001805664
37,152.27648833922234,4.242778977719828,passed,37,8.022366504134638,passed,13,5.309019607877952
38,176.34747188942046,4.5128569177261575,passed,149,8.43609524939386,passed,119,5.276355500851837
39,166.2137468296964,9.402177940731047,passed,117,8.326316058854278,passed,103,5.179269709780021
40,140.80720010279023,5.6990464267656975,passed,71,8.303834105096497,passed,22,5.002447276757294
41,196.25000640053813,3.520642397299831,passed,50,8.014684806692474,passed,22,5.1915670234328415
42,171.24802202312588,5.856537446443726,passed,243,9.01694611437074,passed,138,6.377176688611863
43,135.05822444402114,4.6796550637005,passed,117,8.115063720870875,passed,61,6.181479284387215
44,210.26873497760832,3.751139840038778,passed,40,8.240941337101138,passed,16,5.003526513522538
45,138.41740370150183,5.485795632431214,passed,79,8.012986421816336,passed,4,5.932599020539975
46,137.61396598666173,7.728344724800563,passed,107,8.009655474096245,passed,37,5.017836099379136
47,210.9392447595206,4.2420559223733045,passed,58,8.16878105715302,passed,20,5.869744022052781
48,149.1142420482273,3.050695164471678,passed,98,8.980006834127652,passed,98,8.980006834127652
49,161.69874579396318,4.10784500088866,passed,97,9.16950974009123,passed,81,5.109329713430699
50,149.62998851579513,5.7057283646870625,passed,20,8.32349199039335,passed,13,5.555757042733522
51,171.007692347562,3.7461727167252254,passed,29,8.248699101361057,passed,21,5.18969349474061
52,117.7437966751369,4.929316617572827,passed,249,8.663693693306818,passed,174,5.751399906091326
53,176.11270483842586,2.5669178635138166,passed,65,8.046410918120039,passed,60,5.8681224584038905
54,183.2306163818123,4.890166189893631,passed,176,8.721283748246078,passed,66,5.096413392576715
55,159.00268595552998,5.083026739253976,passed,74,8.823591442204481,passed,67,5.280858458907711
56,128.73240541971933,4.3783884302109595,passed,180,11.543766055664495,passed,97,5.002294243454641
57,158.21768758998428,4.223295805204142,passed,67,8.784364409661617,passed,43,5.917052868437445
58,239.96982581596416,3.510648478808008,passed,94,8.043894112627758,passed,68,5.527634870822684
59,193.545168940604,7.827679739777363,passed,229,8.018329419720406,passed,186,5.8311036540293015
60,164.988368423623,5.404472189105413,passed,51,8.16322636162985,passed,5,6.004052750519406
61,117.27421287775744,5.579998858535972,passed,203,8.44013615277921,passed,74,5.021203941714569
62,135.16712417736736,4.759575614491734,passed,50,8.035453901786394,passed,28,5.600699247145435
63,135.2109870973437,7.260658478991698,passed,106,8.212767992479431,passed,100,5.226964706774151
64,150.94712147278938,6.4710186300598185,passed,64,8.35790029383967,passed,56,6.14308790849587
65,162.81518003696175,7.00266603191594,passed,36,8.288384466691534,passed,30,7.68146795939415
66,148.92046576100287,5.063853444295403,passed,82,8.071083161389447,passed,40,5.767573037531171
67,131.70310891010067,4.58040313572031,passed,83,8.796589244648324,passed,36,5.00258486694527
68,87.27657286814426,8.315977245845671,passed,428,8.48258654057612,passed,254,5.5097376031340906
69,162.0088507280788,5.970172788747621,passed,28,9.447855900856329,passed,13,7.4370449746586464
70,174.0221928100636,7.207482670114866,passed,84,8.768605834350684,passed,53,5.006126309691239
71,87.24934270574745,6.231858127065003,passed,104,8.086463845136759,passed,100,6.588416421896204
72,146.02861658196625,5.860010697136657,passed,100,8.048615039875306,passed,92,5.184667001519916
73,158.36551352957935,4.815195583213218,passed,72,8.364328519514919,passed,66,5.127982661997121
74,115.90113668175044,5.451724798823078,passed,23,8.406770674633734,passed,22,7.8724610585029
75,151.35836407869223,7.298230318807784,passed,33,8.998073484464108,passed,26,6.172196022425691
76,185.38785355727848,6.691630505325451,passed,54,8.798043234734454,passed,43,6.6022480242640125
77,180.06434481894834,8.135745957015137,passed,48,8.289389431471928,passed,31,5.66865580288074
78,182.65019381069828,8.627945076647315,passed,115,9.047123124126744,passed,111,5.087551693665349
79,133.0789162868336,12.684326672267227,passed,254,8.01296668638436,passed,21,5.51885129291616
80,203.16781629085256,4.974588921282686,passed,107,8.273985831363762,passed,85,5.365391640361006
81,171.46705852516777,6.122387640948145,passed,154,8.018541337564656,passed,143,5.437051155057637
82,116.88515933155155,12.437651768555922,breach_static,232,-10.241241679845514,breach_static,232,-10.241241679845514
83,191.94423274275047,4.425859559581386,passed,94,8.163752293547422,passed,66,5.945376376247724
84,120.13230356974942,10.069322178310061,passed,160,9.941150187541648,passed,156,6.43010362947376
85,198.4905981533879,4.371008564935266,passed,100,9.636539063038963,passed,70,5.290208543617947
86,166.51205470920925,5.535407525178001,passed,40,8.564911676166798,passed,23,5.270276374488825
87,119.47739505587451,4.342423339819912,passed,226,8.058055148776555,passed,220,5.786455489084674
88,187.86017325309516,5.58097112787933,passed,169,8.563398495951112,passed,106,5.772246763682443
89,186.39619457075332,4.592499108846643,passed,104,8.518750650932528,passed,86,5.00182486073486
90,151.57254647555916,5.942717858105798,passed,21,8.225202048285208,passed,17,5.014670697021462
91,135.7291669548997,5.012399744331314,passed,79,9.056869221335129,passed,40,5.438666713271045
92,189.40212040632,4.483422349205017,passed,51,8.318958481203653,passed,22,5.013072777199601
93,176.52805754204385,5.354072758082787,passed,66,8.278103115328905,passed,12,5.141039637296663
94,181.60007473951697,4.96715287365928,passed,112,8.0107358422993,passed,77,5.397848888285406
95,188.33522602405844,4.963582568012068,passed,188,8.290397480916024,passed,173,5.401501733979552
96,147.86344203437588,4.520775054474554,passed,169,8.127085835702363,passed,120,5.002580273019497
97,169.59620399568786,5.461397953797006,passed,96,11.314697754946067,passed,53,5.352672244041057
98,140.11128896348822,2.7345780684680876,passed,99,8.183218111939805,passed,78,5.126716612569493
99,162.55129823179902,4.85543482140667,passed,35,9.206698299504357,passed,27,5.067336138431178
100,151.18935783592372,5.077591257249908,passed,170,8.67958136381839,passed,63,6.779344069553517
101,173.19184325489192,6.999982729923149,passed,106,10.586771937168127,passed,96,5.052315880059544
102,128.68503725875922,6.778887797991222,passed,229,8.721627997818171,passed,159,5.7996145130349674
103,161.56174089188627,5.600018498397294,passed,161,9.788209404111047,passed,29,5.0239934964954935
104,182.05637332856207,4.004227232838123,passed,89,8.208533644716077,passed,37,5.213905205855052
105,177.7174408760728,4.3894076067983665,passed,129,8.256905429295557,passed,102,6.33714816372819
106,191.79014955802703,3.275551712746385,passed,62,8.995305041605551,passed,50,5.661028824676229
107,120.22234861079268,5.408435355374534,passed,109,8.012037750550327,passed,82,5.703597037431152
108,95.7609069208736,8.18572786182658,passed,137,8.006844632768884,passed,47,5.015371163669502
109,138.17608955169698,4.368744335572744,passed,284,8.358718191962788,passed,167,5.176807001084116
110,188.77910741745382,4.1436301477587705,passed,100,11.435403077839945,passed,46,5.255905339927525
111,143.86768238701612,6.956840906187158,passed,306,8.803057055856689,passed,50,5.032885525860209
112,178.40630895602598,6.3858928936785,passed,114,8.659769498568547,passed,107,6.768908947393681
113,150.28579589652975,4.367604920664872,passed,88,9.134203129001284,passed,53,5.884141017473854
114,159.7737677470369,5.693855892121048,passed,294,9.997595645039038,passed,260,6.173404294562945
115,168.75504696499002,3.9962237176071724,passed,28,8.518077698670723,passed,20,6.09156697814992
116,179.65101655420824,3.131718895571014,passed,22,8.109833022655577,passed,5,5.135920848153908
117,162.66671742105552,6.645419773561563,passed,53,8.30158085055519,passed,20,6.611593485580225
118,161.28981362263636,4.215651915797595,passed,53,10.639172479154091,passed,48,5.61673775687157
119,125.20322946182874,6.0595301106304325,passed,50,9.998290138176813,passed,45,5.036716365465299
120,195.1211014507341,4.194179359274923,passed,34,8.050838206252543,passed,32,6.000891460567814
121,184.47951773708277,4.8981148704175315,passed,67,8.506741782684735,passed,22,6.354540475133463
122,167.37657660789768,3.9458119575223187,passed,110,8.919554790563765,passed,95,5.015574896999198
123,144.91433003974765,3.901163438711306,passed,95,9.942021151396263,passed,19,5.334702393641932
124,157.5099883782804,4.9072125683716665,passed,70,9.958582142060092,passed,52,5.329195214945037
125,138.07645303699925,5.0163260823909654,passed,162,8.485072324704412,passed,159,6.077925022389952
126,161.56354647044395,3.863624548695055,passed,82,8.963938644508772,passed,43,5.576872300746971
127,122.84114273903333,7.650940793565642,passed,150,8.198829144308718,passed,74,5.404060649032916
128,167.84230711855636,5.775640245777285,passed,244,11.056241935278678,passed,219,5.563956020751193
129,124.59077156966893,4.4948341121455515,passed,169,8.395743479074124,passed,144,5.579744471058712
130,124.09811056361634,5.957100455101163,passed,81,8.381952557594218,passed,67,6.531982804620884
131,119.37356623085394,7.524099479249098,passed,36,8.190304148597338,passed,21,5.090198609120988
132,178.73969448292164,3.415876468398413,passed,146,8.866299471591566,passed,95,5.1610549266405625
133,130.8064407791262,6.871593900064956,passed,87,9.524631751967028,passed,77,5.407383408698796
134,167.80338336024036,6.884738685091911,passed,155,9.861336948901634,passed,114,5.064532919609022
135,152.83467740666222,4.194619264888229,passed,91,8.262873601001775,passed,31,5.752426053255455
136,190.90893571831765,3.9435165242499632,passed,128,8.222111332363436,passed,82,5.014496820825798
137,203.7440400320897,3.8665817700630036,passed,104,8.021051350530684,passed,103,5.050381387807601
138,163.89628221922007,4.855876960098173,passed,125,9.362712160527643,passed,111,5.001306756932311
139,155.43834613548984,7.54041477942667,passed,132,8.010436406134925,passed,32,5.028187520189942
