sim,final_return_pct,max_dd_pct,phase1_outcome,phase1_days,phase1_return_pct,phase2_outcome,phase2_days,phase2_return_pct
1,176.50135707122422,4.857935970297618,passed,49,8.278967452129615,passed,19,5.010603506533329
2,113.75763221814327,10.428190078658044,passed,355,10.524372498097234,passed,323,5.342052967061517
3,156.31503370857848,3.7935282849210004,passed,54,8.31440406391497,passed,30,5.514194902311931
4,183.428511322393,4.623354137639172,passed,87,8.771439180925867,passed,85,5.690816181870595
5,166.28590523500884,3.38892176756353,passed,87,8.143098745065135,passed,64,5.457474508184612
6,182.42442826799584,4.757195766733018,passed,107,9.06345290746029,passed,87,5.154933384525395
7,134.0031271528692,4.5581320761921615,passed,106,8.352892816802871,passed,65,5.451860324766145
8,127.40241276706175,8.341617792446257,passed,135,8.04553869933924,passed,129,6.162378831729942
9,207.28330971360535,5.130421380924369,passed,35,8.838920303564901,passed,9,5.332355009114753
10,115.27242143758771,12.672679654859815,passed,171,8.439185907620605,passed,39,5.050904736745188
11,153.91570522418857,7.080895952236778,passed,67,9.842430812270697,passed,17,5.3868001367661345
12,180.2073504170688,5.63774468132553,passed,39,8.758983325366799,passed,30,5.499741457217233
13,142.3313198769315,6.070748473878192,passed,170,9.43523149313339,passed,151,5.66406755208162
14,163.58587953139346,4.015346855757357,passed,69,9.095552393448125,passed,52,5.785937467964208
15,131.14711142584818,8.082676440535263,passed,36,8.153277880479681,passed,16,5.545577778895905
16,128.91707998851496,5.596066277539547,passed,94,8.340838940497687,passed,47,5.8171830250204115
17,120.88452463419075,9.111162489279112,passed,36,10.405103692815864,passed,31,6.017891220195426
18,208.9466570402393,2.977189852946437,passed,166,8.721735937463304,passed,104,5.116460897056041
19,128.26589485115866,6.493936860711526,passed,21,8.324970779134965,passed,10,5.087790595852337
20,145.50358971640995,4.854934177301497,passed,54,8.891279838732103,passed,40,5.097967149361304
21,170.12868257504206,3.8143355463629756,passed,37,9.101503050683558,passed,35,5.046752380966857
22,202.12198620004577,4.438659401822824,passed,72,8.010227537167003,passed,49,5.410431527829451
23,144.15268973606698,3.542108701298336,passed,70,8.692489858259567,passed,38,5.108414140344419
24,117.99549920258099,4.392591154114299,passed,30,8.090042971861022,passed,21,6.1054185078701195
