sim,final_return_pct,max_dd_pct,phase1_outcome,phase1_days,phase1_return_pct,phase2_outcome,phase2_days,phase2_return_pct
1,162.62527789587313,5.430920021260088,passed,25,8.820289109011469,passed,6,6.056228963995114
2,160.16269201970573,7.878665421025059,passed,46,8.713086706437313,passed,8,5.243357708506546
3,124.83533362519839,4.012712636113277,passed,59,9.085105855237764,passed,47,5.5530476514872085
4,194.08925225147837,4.908708249141017,passed,108,8.396606697174235,passed,90,5.901427803653658
5,176.09398556771865,8.639045274631703,passed,166,8.23556542903967,passed,160,6.189809162369242
6,229.07791392812578,2.422522457933883,passed,53,10.079356772424642,passed,41,5.2825546779929455
7,140.1156152298079,4.962074148541974,passed,116,10.040466606927279,passed,42,5.777530928562746
8,169.70909235112376,7.3510766853706055,passed,104,8.661070938903315,passed,46,5.470694444309632
9,210.52260238655575,3.078771536333104,passed,41,9.062585607874961,passed,26,6.3287339602690285
10,194.5415325446051,5.42914640155211,passed,44,9.365973310632935,passed,22,5.856057943102599
11,111.48081028478924,8.238006672635814,passed,197,8.606935234239277,passed,129,5.444818019939857
12,151.66293517513515,6.672836635820308,passed,26,8.407260393613214,passed,6,5.3578642534871435
13,151.65745117291522,6.540564468982605,passed,214,9.626177571985007,passed,208,5.053357444544204
14,113.63010776047973,8.210852943580207,passed,84,8.472636082053775,passed,69,5.795283295859255
15,159.43337068423853,4.531168165442321,passed,48,8.871805993569982,passed,36,5.231035004575668
16,131.42277884935046,4.994781296374226,passed,98,8.45606043219711,passed,98,8.45606043219711
17,157.51894256275807,6.591658961293,passed,240,8.100218812983906,passed,133,6.270932510334615
18,116.87506742816373,6.264570094942439,passed,252,8.365925654927576,passed,149,5.027342982689942
19,131.8334403070192,5.6796978242930285,passed,79,8.684774910689018,passed,43,5.125997211550293
20,165.19914819271108,5.3173860546279155,passed,128,8.784765463363309,passed,88,5.276100855897958
21,220.35349241971772,3.6038478238487546,passed,45,8.062116502367411,passed,44,6.1949576977983645
22,167.25006768186134,4.214841357577354,passed,229,8.13858719823719,passed,128,5.05627839028111
23,106.32561425393376,6.466118897345316,passed,142,8.308202122669206,passed,61,5.733552488712945
24,122.77433940502655,5.775233288795129,passed,150,8.206211861535696,passed,146,5.005245458093532
25,207.1797127959994,3.139242078419306,passed,58,8.953907010637296,passed,50,6.216330399309822
26,121.77692997116463,10.307225321366783,passed,70,9.040112068074556,passed,46,5.892889978498106
27,100.79960543211497,6.5283407743884245,passed,65,8.212755655417968,passed,44,5.156324665936607
28,172.28795357266407,4.57076117723327,passed,96,8.05270108252396,passed,66,5.2632031791322476
29,158.81426601882563,6.085648841872457,passed,102,8.360622710031706,passed,60,6.70048724100627
30,183.6965818012919,3.662864909744857,passed,102,9.114270703025618,passed,83,6.204854484883171
31,154.17291661048912,3.8405378854844177,passed,70,10.81056007464598,passed,38,5.621037196174061
32,163.91246862738603,5.9853659897345635,passed,106,8.157426043299875,passed,58,5.348813034807964
33,178.16750538564312,4.781916077737437,passed,33,10.065569753863945,passed,29,5.2014315334842465
34,153.116424315214,8.879613504282641,passed,41,9.157338349270127,passed,13,5.200565876746954
35,165.21770647619212,3.399838903199133,passed,92,9.274084702990315,passed,59,5.803515575111606
36,198.10988415065344,4.694144093085444,passed,124,9.34482443991147,passed,119,6.3207753911389775
