,cand_015,cand_013,cand_014,cand_011,cand_009,cand_003,cand_007
cand_015,1.0,0.8522034959617042,0.9032320577778771,0.8524015395114349,0.8519318989376646,0.8521298922260666,0.9204751415234539
cand_013,0.8522034959617042,1.0,0.9084718386080064,0.9999517110068343,0.9992170186884741,0.9992017603206239,0.7785989701653901
cand_014,0.9032320577778771,0.9084718386080064,1.0,0.9086925968242222,0.907943312614182,0.9081485938555673,0.8415105210555442
cand_011,0.8524015395114349,0.9999517110068343,0.9086925968242222,1.0,0.9992356858906875,0.9992623263338573,0.7785394821273308
cand_009,0.8519318989376646,0.9992170186884741,0.907943312614182,0.9992356858906875,1.0,0.9999624065291316,0.7761630072944566
cand_003,0.8521298922260666,0.9992017603206239,0.9081485938555673,0.9992623263338573,0.9999624065291316,1.0,0.7763129596271122
cand_007,0.9204751415234539,0.7785989701653901,0.8415105210555442,0.7785394821273308,0.7761630072944566,0.7763129596271122,1.0
